CountyFIPS,PhotoCounts,,CountyFIPS,Contributors
21071,158,,21071,19
21193,54,,21193,21
21179,192,,21179,37
21137,26,,21137,11
13143,65,,13143,22
21077,94,,21077,22
39165,859,,39165,189
13295,346,,13295,128
28015,19,,28015,6
28161,44,,28161,17
28123,31,,28123,12
28101,17,,28101,7
28105,631,,28105,38
25023,4153,,25023,796
28113,38,,28113,17
21175,6,,21175,3
13241,688,,13241,222
39127,148,,39127,23
13299,330,,13299,61
13059,823,,13059,143
13015,403,,13015,112
25007,1527,,25007,376
21201,72,,21201,14
13219,48,,13219,24
13035,99,,13035,27
21153,24,,21153,5
13145,218,,13145,75
13265,21,,13265,8
28055,13,,28055,8
13305,35,,13305,13
39083,717,,39083,89
39087,195,,39087,43
13029,178,,13029,47
28037,49,,28037,10
39163,151,,39163,44
13067,2782,,13067,528
28057,17,,28057,10
39151,948,,39151,177
28065,17,,28065,3
28075,297,,28075,60
28093,89,,28093,18
21061,387,,21061,99
13123,190,,13123,84
21047,277,,21047,47
28059,1183,,28059,168
13315,17,,13315,9
21157,211,,21157,32
21125,163,,21125,56
28139,19,,28139,7
28143,215,,28143,37
21239,175,,21239,66
28091,51,,28091,17
13107,49,,13107,18
13199,180,,13199,54
21131,120,,21131,19
13303,42,,13303,14
28063,64,,28063,35
13201,25,,13201,5
28021,229,,28021,56
28051,16,,28051,10
13215,577,,13215,91
21207,131,,21207,53
13225,76,,13225,30
21161,145,,21161,39
39153,3103,,39153,458
13161,33,,13161,9
13065,96,,13065,15
21189,4,,21189,4
13103,70,,13103,24
13097,389,,13097,91
13135,1336,,13135,382
28147,11,,28147,7
13111,409,,13111,133
21235,396,,21235,103
25019,1062,,25019,228
28011,119,,28011,20
13093,29,,13093,16
28079,60,,28079,10
13167,11,,13167,9
21143,261,,21143,41
13223,214,,13223,59
28049,561,,28049,112
28137,24,,28137,9
13293,192,,13293,34
13077,293,,13077,80
21195,160,,21195,34
28083,57,,28083,18
21205,72,,21205,24
13099,22,,13099,8
28129,8,,28129,3
28103,234,,28103,15
28005,25,,28005,9
28117,26,,28117,15
21181,15,,21181,6
13155,62,,13155,7
21133,105,,21133,27
39129,122,,39129,63
13153,305,,13153,71
28081,248,,28081,74
28071,203,,28071,62
21087,12,,21087,5
21085,47,,21085,17
28033,266,,28033,56
50013,359,,50013,140
13261,237,,13261,51
13105,169,,13105,40
50021,1540,,50021,301
28125,32,,28125,8
10001,2173,,10001,189
13007,2,,13007,1
28133,36,,28133,14
21171,84,,21171,10
21159,7,,21159,3
21229,108,,21229,17
28155,27,,28155,9
13013,84,,13013,31
28039,23,,28039,11
28043,36,,28043,15
28087,175,,28087,37
21101,108,,21101,41
21107,57,,21107,19
25001,10315,,25001,1743
13159,112,,13159,25
13089,33043,,13089,597
13037,85,,13037,3
13251,37,,13251,14
13317,123,,13317,19
13297,95,,13297,35
13175,102,,13175,32
13277,280,,13277,25
10003,4370,,10003,514
50005,2364,,50005,184
13255,245,,13255,23
28151,101,,28151,40
13055,52,,13055,20
13169,63,,13169,17
42013,749,,42013,119
28095,33,,28095,9
21199,108,,21199,43
13221,79,,13221,34
42039,788,,42039,116
50011,771,,50011,143
28061,14,,28061,8
21169,44,,21169,8
13069,43,,13069,12
28047,1642,,28047,372
50025,1905,,50025,374
28019,96,,28019,21
50015,1586,,50015,350
28053,23,,28053,9
42109,234,,42109,53
13043,456,,13043,8
28025,24,,28025,11
21127,57,,21127,18
28119,22,,28119,4
50003,1167,,50003,299
28109,166,,28109,17
13287,57,,13287,11
21183,32,,21183,15
13249,5,,13249,3
13263,48,,13263,20
28089,254,,28089,73
25003,2827,,25003,557
13075,185,,13075,16
21017,61,,21017,24
28149,746,,28149,165
